Name,Quantity,Total Price,Link
6mm Buttons,4,$1.48,https://www.mouser.com/ProductDetail/Apem/MJTP1230BL?qs=Uv2m1HzDAyoKnPubDPIWhw%3D%3D
JST XH Cable Connector Kit,1,$15.79,https://www.aliexpress.us/item/3256811863291012.html?mp=1&pdp_npi=6@dis!USD!USD+15.79!USD+4.89!!USD+4.89!!!@2101e5ab17834758737382875e11c3!12000057375181802!ct!US!7892333601!!1!0!&_gl=1*bqjhxd*_gcl_au*MTYwMTc5OTkwMi4xNzgzNDYwMTQ4*_ga*MTQwMjE3ODMyNy4xNzgzNDYwOTg5*_ga_VED1YSGNC7*czE3ODM0NzQ5OTIkbzIkZzEkdDE3ODM0NzU4NzckajM0JGwwJGgw&gatewayAdapt=glo2usa
Raspberry Pi Zero 2W*,1,$19.05,https://www.adafruit.com/product/5291
"NHD 1.91"" OLED Display",1,$35.70,https://www.mouser.com/ProductDetail/Newhaven-Display/NHD-1.91-176176UBC3?qs=2wMNvWM5ZX75sDNFWn%252Bttg%3D%3D
0.1uF Capacitors,5,$0.95,https://www.mouser.com/ProductDetail/KYOCERA-AVX/KAF21KR72A104KL?qs=Jm2GQyTW/biUCISqVwD/LA%3D%3D
10uF Capacitors,5,$1.15,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BC81E106ME51L?qs=QzBtWTOodeVegty7mXpoSw%3D%3D
100k Resistors,3,$0.90,https://www.mouser.com/ProductDetail/Bourns/CHV0805-FX-1003ELF?qs=sGAEpiMZZMtlubZbdhIBIAjop5wKJGm0bzEDbc4GJ/M%3D
210k Resistors,3,$0.72,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-10210KL?qs=sGAEpiMZZMtlubZbdhIBIEgN9MQql2m6EfQdNH7eUAg%3D
4OHM 3W Speaker,1,$11.57,https://www.mouser.com/ProductDetail/PUI-Audio/AS04304PR-F-WP-R?qs=By6Nw2ByBD3cmxECgufu4Q%3D%3D
PCB,1,$3.20,JLCPCB
PCB Stencil,1,$7.16,JLCPCB
MAX98357AETE+T,1,$3.73,https://www.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/MAX98357AETE%2bT?qs=AAveGqk956HhNpoJjF5x2g%3D%3D
DMM-4026-B-I2S-R,1,$2.94,https://www.mouser.com/ProductDetail/PUI-Audio/DMM-4026-B-I2S-R?qs=zhx2xqPtQQxBuLVw/wt86Q%3D%3D
USB C Breakout Board,1,$1.62,https://www.aliexpress.us/item/3256805505645584.html?mp=1&pdp_npi=6@dis!USD!USD+1.62!USD+1.62!!USD+1.62!!!@2101e5ab17834758737382875e11c3!12000040225908599!ct!US!7892333601!!1!0!&_gl=1*vgehg5*_gcl_au*MTYwMTc5OTkwMi4xNzgzNDYwMTQ4*_ga*MTQwMjE3ODMyNy4xNzgzNDYwOTg5*_ga_VED1YSGNC7*czE3ODM0NzQ5OTIkbzIkZzEkdDE3ODM0NzU4NzMkajM4JGwwJGgw&gatewayAdapt=glo2usa
M2.5x8 Screws,4,$0.00,Owned
M3x8 Screws,12,$0.00,Owned
M3x12 Screws,4,$0.00,Owned
M3 Nuts,16,$0.00,Owned
M2.5 Nuts,4,$0.00,Owned
"2"" Plastic 2477 Square",1,$1.00,https://www.ttplasticland.com/products/custom-white-translucent-2447-acrylic-sheet?variant=42262768222274&country=US&currency=USD&gad_campaignid=21883779595&gbraid=0AAAAA-TAZZz475_fP9m1gQHzfQsPxgAO-
Case,1,$0.00,3D printed
Display Cover,1,$0.00,3D printed
Speaker Assembly Case,1,$0.00,3D printed
Speaker Assembly Lid,1,$0.00,3D printed
LED Chamber,1,$0.00,3D printed
Button Caps,4,$0.00,3D printed
M3 Heat-Set Threaded Inserts,1,$3.56,https://www.aliexpress.us/item/3256805885174058.html?mp=1&pdp_npi=6@dis!USD!USD+3.56!USD+3.45!!USD+3.45!!!@2101e5ab17834758737382875e11c3!12000035595774906!ct!US!7892333601!!1!0!&_gl=1*vgehg5*_gcl_au*MTYwMTc5OTkwMi4xNzgzNDYwMTQ4*_ga*MTQwMjE3ODMyNy4xNzgzNDYwOTg5*_ga_VED1YSGNC7*czE3ODM0NzQ5OTIkbzIkZzEkdDE3ODM0NzU4NzMkajM4JGwwJGgw&gatewayAdapt=glo2usa
RGB LED Strip,1,$6.22,https://www.aliexpress.us/item/3256807802893080.html?mp=1&pdp_npi=6@dis!USD!USD+6.22!USD+5.95!!USD+5.95!!!@2101e5ab17834758737382875e11c3!12000043175416180!ct!US!7892333601!!1!0!&_gl=1*xea9kz*_gcl_au*MTYwMTc5OTkwMi4xNzgzNDYwMTQ4*_ga*MTQwMjE3ODMyNy4xNzgzNDYwOTg5*_ga_VED1YSGNC7*czE3ODM0NzQ5OTIkbzIkZzEkdDE3ODM0NzU4NzgkajMzJGwwJGgw&gatewayAdapt=glo2usa
